cif_file,name,KVRH,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,Di,Df,Dif,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,3_cycle_norm,4_cycle_norm,5_cycle_norm,6_cycle_norm,7_cycle_norm,8_cycle_norm,9_cycle_norm,10_cycle_norm,11_cycle_norm,12_cycle_norm,density
mof_3.cif,mof_3,14.12865,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,140,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,32,0,2.7,2,6.32,118.7144,219.096,337.3204,385.387,548,1008,1456,1420,16,32,48,58,80,192,256,250,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64336,8.80746,9.64336,2193.8,3128.66,0.6635,0.946241773,0.6635,0,0.946242,0,2087.7,0,0,0.6,0,0.4,0,0,0,0,0,0,0.701195
mof_4.cif,mof_4,14.75974,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,140,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,32,0,2.7,2,6.32,110.3108,195.1684,278.5088,279.309,596,1060,1508,1500,12,24,32,30,56,124,140,114,6.7532,13.7384,18.1184,16.8158,11.8336,8.772,20.6056,20.9152,64,48,112,112,1,1,2,2,1,3,4,4,0.5329,0.5621,1.095,1.095,28.09,59.89,87.98,78.44,0,0.89,0.89,0.8,0,2,2,2,0,0,0,0,0,-2,-2,-2,0,-0.04,-0.04,-0.04,0,-6,-6,-4.2,9.2416,16.9936,24.7456,37.9088,49,91,133,203,1,2,3,4,4,10,16,14,0.5625,1.14,1.7175,2.235,54.76,138.38,222,216.82,0,0.49,0.98,-0.31,0,1,2,-1,0,0,0,0,0,-1,-2,1,0,-0.02,-0.04,0.02,0,-3.9,-7.8,0.3,9.94957,9.48351,9.94957,2236.08,3041.44,0.7011,0.953611578,0.7011,0,0.953611,0,2141.51,0,0,0.6,0,0.4,0,0,0,0,0,0,0.735205
mof_12.cif,mof_12,8.911607,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,130,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,34,0,2.7,2,6.32,131.7194,245.106,363.3304,389.314,620,1152,1600,1444,18,36,52,60,88,206,264,260,8.6082,18.634,25.4164,25.9884,11.8336,8.772,20.6056,13.158,64,48,112,72,1,1,2,1.5,1,3,3.5,4,0.5329,0.5621,1.095,0.84315,28.09,59.89,87.98,89.835,0,0.89,0.89,1.335,0,2,2,3,0,0,0,0,0,-2,-1.5,-2.5,0,-0.04,-0.04,-0.06,0,-6,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42609,11.83384,13.42609,2069.82,4802.63,0.796,1.846966311,0.796,0,1.84697,0,4517.02,0,0,0.6,0,0.4,0,0,0,0,0,0,0.430977
mof_16.cif,mof_16,6.86795,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,140,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,32,0,2.7,2,6.32,177.0894,355.011,557.1304,682.442,768,1560,2272,2360,26,54,84,108,138,342,484,524,11.5274,26.8422,39.4612,45.1084,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.06601,14.00604,15.05182,1838.19,4911.62,0.8043,2.149080969,0.8043,0,2.14908,0,6370.94,0,0,0.6,0,0.4,0,0,0,0,0,0,0.374253
mof_18.cif,mof_18,7.366024,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,140,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,32,0,2.7,2,6.32,160.2822,307.1558,439.5072,465.2292,864,1664,2376,2496,18,38,52,52,90,206,252,228,10.189,21.7942,29.6084,29.3716,11.8336,8.772,20.6056,20.9152,64,48,112,112,1,1,2,2,1,3,4,4,0.5329,0.5621,1.095,1.095,28.09,59.89,87.98,78.44,0,0.89,0.89,0.8,0,2,2,2,0,0,0,0,0,-2,-2,-2,0,-0.04,-0.04,-0.04,0,-6,-6,-4.2,9.2416,16.9936,24.7456,36.6928,49,91,133,196,1,2,3,4,4,10,16,16,0.5625,1.14,1.7175,2.25,54.76,138.38,222,232.36,0,0.49,0.98,0.09,0,1,2,0,0,0,0,0,0,-1,-2,0,0,-0.02,-0.04,0,0,-3.9,-7.8,-1.8,15.35307,14.52062,15.35307,1783.35,4422.69,0.8313,2.061612785,0.8313,0,2.06161,0,6273.98,0,0,0.6,0,0.4,0,0,0,0,0,0,0.403228
mof_19.cif,mof_19,7.494586,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,120,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,36,0,2.7,2,6.32,99.3544,161.211,195.5404,135.201,544,888,1072,744,12,22,24,18,46,88,76,64,6.8748,12.7974,13.7432,10.4258,11.8336,8.772,20.6056,8.772,64,48,112,48,1,1,2,1,1,3,3,2,0.5329,0.5621,1.095,0.5621,28.09,59.89,87.98,59.89,0,0.89,0.89,0.89,0,2,2,2,0,0,0,0,0,-2,-1,-1,0,-0.04,-0.04,-0.04,0,-6,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99522,14.4931,15.99522,1727.36,5424.48,0.8656,2.718268548,0.8656,0,2.71827,0,5888.14,0,0,0.6,0,0.4,0,0,0,0,0,0,0.318438
mof_33.cif,mof_33,19.81737,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,120,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,36,0,2.7,2,6.32,73.3444,109.191,143.5204,83.181,400,600,784,456,8,14,16,10,30,56,44,34,4.5032,8.0542,9,5.6826,11.8336,8.772,20.6056,8.772,64,48,112,48,1,1,2,1,1,3,3,2,0.5329,0.5621,1.095,0.5621,28.09,59.89,87.98,59.89,0,0.89,0.89,0.89,0,2,2,2,0,0,0,0,0,-2,-1,-1,0,-0.04,-0.04,-0.04,0,-6,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14314,7.58506,9.14314,2340.16,2815.88,0.6931,0.833995139,0.6931,0,0.833995,0,1407.34,0,0,0.6,0,0.4,0,0,0,0,0,0,0.83106
mof_27.cif,mof_27,6.04091,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,120,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,36,0,2.7,2,6.32,144.7244,271.116,389.3404,393.241,692,1296,1744,1468,20,40,56,62,96,220,272,270,9.794,21.0056,27.788,27.2974,11.8336,8.772,20.6056,8.772,64,48,112,48,1,1,2,1,1,3,3,2,0.5329,0.5621,1.095,0.5621,28.09,59.89,87.98,59.89,0,0.89,0.89,0.89,0,2,2,2,0,0,0,0,0,-2,-1,-1,0,-0.04,-0.04,-0.04,0,-6,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78575,16.65561,17.77281,1799.1,6130.65,0.8597,2.92953043,0.8597,0,2.92953,0,7865.74,0,0,0.6,0,0.4,0,0,0,0,0,0,0.29346
mof_30.cif,mof_30,6.248533,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,130,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,34,0,2.7,2,6.32,144.7244,271.116,389.3404,415.324,692,1296,1744,1588,20,40,56,64,96,222,280,274,9.794,21.0056,27.788,28.36,11.8336,8.772,20.6056,13.158,64,48,112,72,1,1,2,1.5,1,3,3.5,4,0.5329,0.5621,1.095,0.84315,28.09,59.89,87.98,89.835,0,0.89,0.89,1.335,0,2,2,3,0,0,0,0,0,-2,-1.5,-2.5,0,-0.04,-0.04,-0.06,0,-6,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.07962,14.91652,17.07962,1659.83,5678.2,0.8572,2.932432941,0.8572,0,2.93243,0,7873.53,0,0,0.6,0,0.4,0,0,0,0,0,0,0.292317
mof_35.cif,mof_35,5.342075,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,140,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,32,0,2.7,2,6.32,190.0944,381.021,583.1404,695.447,840,1704,2416,2432,28,58,88,110,146,356,484,486,12.7132,29.2138,41.8328,46.2942,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.19108,16.8656,18.19108,1546.61,5825.76,0.8577,3.230776185,0.8577,0,3.23078,0,10350.9,0,0,0.6,0,0.4,0,0,0,0,0,0,0.265478
mof_37.cif,mof_37,4.424911,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,140,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,32,0,2.7,2,6.32,235.4644,490.926,776.9404,979.497,988,2112,3088,3300,36,76,120,158,196,492,712,798,15.6324,37.422,55.8776,65.5374,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.34784,18.94011,20.34784,1422.14,5977.97,0.8701,3.657465206,0.8701,0,3.65747,0,13615.5,0,0,0.6,0,0.4,0,0,0,0,0,0,0.237897
mof_39.cif,mof_39,5.24264,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,140,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,32,0,2.7,2,6.32,210.2536,419.1432,600.5056,651.1494,1132,2268,3244,3492,24,52,72,74,124,288,364,342,13.6248,29.85,41.0984,41.9274,11.8336,8.772,20.6056,20.9152,64,48,112,112,1,1,2,2,1,3,4,4,0.5329,0.5621,1.095,1.095,28.09,59.89,87.98,78.44,0,0.89,0.89,0.8,0,2,2,2,0,0,0,0,0,-2,-2,-2,0,-0.04,-0.04,-0.04,0,-6,-6,-4.2,9.2416,16.9936,24.7456,36.28746667,49,91,133,193.6666667,1,2,3,4,4,10,16,16.66666667,0.5625,1.14,1.7175,2.255,54.76,138.38,222,237.54,0,0.49,0.98,0.223333333,0,1,2,0.333333333,0,0,0,0,0,-1,-2,-0.333333333,0,-0.02,-0.04,-0.006666667,0,-3.9,-7.8,-2.5,20.72105,19.31479,20.72105,1351.13,5222.88,0.8866,3.427215165,0.8866,0,3.42722,0,13163.2,0,0,0.6,0,0.4,0,0,0,0,0,0,0.258694
mof_40.cif,mof_40,4.089038,201.1186,381.84,970.1448,1010.9472,2776,6912,11520,13248,22,54,102,132,156,426,726,840,15.3238,41.3034,71.5158,91.7172,2.7556,28.552,22.4432,62.6152,576,960,1728,2112,1,5,6,12,25,55,110,140,1.6129,4.6355,7.1374,11.3284,0,-8.9,-3.56,-17.8,0,80,72,200,0,0,0,0,0,14,8,32,0,2.7,2,6.32,203.0994,407.031,609.1504,721.457,912,1848,2560,2576,30,62,92,114,154,372,500,500,13.899,31.5854,44.2044,48.6658,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.50916,20.13148,21.49615,1259.92,6495.36,0.8946,4.61198208,0.8946,0,4.61198,0,15879.8,0,0,0.6,0,0.4,0,0,0,0,0,0,0.193973
mof_50.cif,mof_50,14.92256,505.7436,891.9232,4098.384,4722.432,11880,32128,66816,86208,60,152,420,696,620,2288,4572,6048,37.0302,130.0568,285.3876,435.0216,1.7689,36.6016,25.5626,98.287,1600,2560,7040,6880,1,8,10,22,64,176,336,416,2.3716,8.9936,14.1372,24.8556,0,-16.88,-5.92,-44.64,0,256,224,708,0,0,0,0,0,42,38,124,0,6.48,6.22,17.74,118.7144,219.096,337.3204,385.387,548,1008,1456,1420,16,32,48,58,80,192,256,250,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22574,7.39441,8.18001,2035.21,1845.62,0.4686,0.424945363,0.4686,0,0.424947,0,15533.1,0,0,0.4,0,0.6,0,0,0,0,0,0,1.10273
mof_51.cif,mof_51,16.589,505.7436,891.9232,4098.384,4722.432,11880,32128,66816,86208,60,152,420,696,620,2288,4572,6048,37.0302,130.0568,285.3876,435.0216,1.7689,36.6016,25.5626,98.287,1600,2560,7040,6880,1,8,10,22,64,176,336,416,2.3716,8.9936,14.1372,24.8556,0,-16.88,-5.92,-44.64,0,256,224,708,0,0,0,0,0,42,38,124,0,6.48,6.22,17.74,110.3108,195.1684,278.5088,279.309,596,1060,1508,1500,12,24,32,30,56,124,140,114,6.7532,13.7384,18.1184,16.8158,11.8336,8.772,20.6056,20.9152,64,48,112,112,1,1,2,2,1,3,4,4,0.5329,0.5621,1.095,1.095,28.09,59.89,87.98,78.44,0,0.89,0.89,0.8,0,2,2,2,0,0,0,0,0,-2,-2,-2,0,-0.04,-0.04,-0.04,0,-6,-6,-4.2,9.2416,16.9936,24.7456,37.9088,49,91,133,203,1,2,3,4,4,10,16,14,0.5625,1.14,1.7175,2.235,54.76,138.38,222,216.82,0,0.49,0.98,-0.31,0,1,2,-1,0,0,0,0,0,-1,-2,1,0,-0.02,-0.04,0.02,0,-3.9,-7.8,0.3,8.0499,7.20049,7.99614,2189.6,1929.92,0.4983,0.4392011,0.4983,0,0.439202,0,16192.6,0,0,0.4,0,0.6,0,0,0,0,0,0,1.13456
mof_54.cif,mof_54,11.85385,505.7436,891.9232,4098.384,4722.432,11880,32128,66816,86208,60,152,420,696,620,2288,4572,6048,37.0302,130.0568,285.3876,435.0216,1.7689,36.6016,25.5626,98.287,1600,2560,7040,6880,1,8,10,22,64,176,336,400,2.3716,8.9936,14.1372,24.8556,0,-16.88,-5.92,-44.64,0,256,224,708,0,0,0,0,0,42,38,126,0,6.48,6.22,17.74,86.3494,135.201,169.5304,109.191,472,744,928,600,10,18,20,14,38,72,60,48,5.689,10.4258,11.3716,8.0542,11.8336,8.772,20.6056,8.772,64,48,112,48,1,1,2,1,1,3,3,2,0.5329,0.5621,1.095,0.5621,28.09,59.89,87.98,59.89,0,0.89,0.89,0.89,0,2,2,2,0,0,0,0,0,-2,-1,-1,0,-0.04,-0.04,-0.04,0,-6,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32369,8.23471,9.31655,2446.03,2944.8,0.6903,0.831060948,0.6903,0,0.831061,0,14259.8,0,0,0.4,0,0.6,0,0,0,0,0,0,0.830625
mof_59.cif,mof_59,8.99666,505.7436,891.9232,4098.384,4722.432,11880,32128,66816,86208,60,152,420,696,620,2288,4572,6048,37.0302,130.0568,285.3876,435.0216,1.7689,36.6016,25.5626,98.287,1600,2560,7040,6880,1,8,10,22,64,176,336,408,2.3716,8.9936,14.1372,24.8556,0,-16.88,-5.92,-44.64,0,256,224,708,0,0,0,0,0,42,38,125,0,6.48,6.22,17.74,131.7194,245.106,363.3304,389.314,620,1152,1600,1444,18,36,52,60,88,206,264,260,8.6082,18.634,25.4164,25.9884,11.8336,8.772,20.6056,13.158,64,48,112,72,1,1,2,1.5,1,3,3.5,4,0.5329,0.5621,1.095,0.84315,28.09,59.89,87.98,89.835,0,0.89,0.89,1.335,0,2,2,3,0,0,0,0,0,-2,-1.5,-2.5,0,-0.04,-0.04,-0.06,0,-6,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.429,10.19271,11.42296,2168.96,3142.08,0.7067,1.023766685,0.7067,0,1.02377,0,19691,0,0,0.4,0,0.6,0,0,0,0,0,0,0.690294
mof_63.cif,mof_63,6.7218,505.7436,891.9232,4098.384,4722.432,11880,32128,66816,86208,60,152,420,696,620,2288,4572,6048,37.0302,130.0568,285.3876,435.0216,1.7689,36.6016,25.5626,98.287,1600,2560,7040,6880,1,8,10,22,64,176,336,416,2.3716,8.9936,14.1372,24.8556,0,-16.88,-5.92,-44.64,0,256,224,708,0,0,0,0,0,42,38,124,0,6.48,6.22,17.74,177.0894,355.011,557.1304,682.442,768,1560,2272,2360,26,54,84,108,138,342,484,524,11.5274,26.8422,39.4612,45.1084,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36498,12.35779,13.23649,1947.32,3333.02,0.7078,1.211467694,0.7078,0,1.21147,0,51631,0,0,0.4,0,0.6,0,0,0,0,0,0,0.58425
mof_65.cif,mof_65,5.728634,505.7436,891.9232,4098.384,4722.432,11880,32128,66816,86208,60,152,420,696,620,2288,4572,6048,37.0302,130.0568,285.3876,435.0216,1.7689,36.6016,25.5626,98.287,1600,2560,7040,6880,1,8,10,22,64,176,336,416,2.3716,8.9936,14.1372,24.8556,0,-16.88,-5.92,-44.64,0,256,224,708,0,0,0,0,0,42,38,124,0,6.48,6.22,17.74,160.2822,307.1558,439.5072,465.2292,864,1664,2376,2496,18,38,52,52,90,206,252,228,10.189,21.7942,29.6084,29.3716,11.8336,8.772,20.6056,20.9152,64,48,112,112,1,1,2,2,1,3,4,4,0.5329,0.5621,1.095,1.095,28.09,59.89,87.98,78.44,0,0.89,0.89,0.8,0,2,2,2,0,0,0,0,0,-2,-2,-2,0,-0.04,-0.04,-0.04,0,-6,-6,-4.2,9.2416,16.9936,24.7456,36.6928,49,91,133,196,1,2,3,4,4,10,16,16,0.5625,1.14,1.7175,2.25,54.76,138.38,222,232.36,0,0.49,0.98,0.09,0,1,2,0,0,0,0,0,0,-1,-2,0,0,-0.02,-0.04,0,0,-3.9,-7.8,-1.8,13.20248,12.36807,13.20248,1942.05,3150.51,0.7313,1.186354891,0.7313,0,1.18635,0,51308.1,0,0,0.4,0,0.6,0,0,0,0,0,0,0.616426
