name,data_type,net,KVRH,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,Di,Df,Dif,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,3_cycle_norm,4_cycle_norm,5_cycle_norm,6_cycle_norm,7_cycle_norm,8_cycle_norm,9_cycle_norm,10_cycle_norm,11_cycle_norm,12_cycle_norm,density
MOF_net-wgh_node1-N85_edge1-E13,1inor_1edge,wgh,0.855585998,118.78,218.7504,430.407,647.496,1356.0,3222.0,4494.0,3528.0,15.0,30.0,52.0,78.0,86.0,236.0,300.0,214.0,9.617,21.4914,35.508,44.3982,3.5344,36.5472,38.352,71.4776,729,1215.0,1296.0,1728.0,1,6.0,8.0,15.0,36.0,90.0,144.0,186.0,1.5876,5.5944,7.7616,11.4282,0,-8.16,-5.36,-9.82,0,117.0,168.0,341.0,0,0,0,0,0,21.0,24.0,59.0,0,3.12,3.92,9.83,265.71496,588.9276,933.64072,1152.325,1051.6,2448.0,3510.4,3613.6,42.8,92.0,146.4,189.2,238.4,602.4,882.4,975.6,17.92332,44.4444,66.66296,76.32052,10.4512,12.3624,25.51514667,17.22613333,56.0,67.2,106.8666667,72.33333333,1,1.533333333,3.066666667,2.2,2.6,7.8,10.4,7.466666667,0.548686667,0.878313333,1.418,1.036126667,42.314,117.1433333,156.2081216,124.9532503,0,0.938,1.670666667,1.708,0,2.0,8.066666667,6.8,0,0,0,0,0,-2.0,-0.933333333,-1.666666667,0,-0.04,0.372,0.230666667,0,-6.96,-2.574250667,-5.558547333,7.91168,15.708,31.64528,24.8496,42.2,85.2,135.8,82.2,0.8,2.0,4.0,3.4,5.6,16.8,24.2,17.4,0.44408,1.15192,1.929,1.41734,38.474,162.494,240.9911368,184.3347052,0,1.06,2.068,2.456,0,2.2,9.4,12.8,0,0,0,0,0,-0.4,2.6,2.8,0,-0.044,0.412,0.644,0,-8.22,-4.748532,-1.872798,37.06866,35.32168,36.47875,935.831,7054.09,0.8931,6.731994121,0.8931,0.0,6.73199,0.0,332651.0,0.0,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.132665
MOF_net-uox_node1-N42_edge1-E14,1inor_1edge,uox,1.640131574,238.032,504.80825,1087.0349,1278.37975,2370.0,6142.0,9347.0,9825.5,32.0,76.5,137.0,181.0,221.5,617.0,988.0,1145.0,18.3744,50.43565,83.8347,102.4855,2.4025,28.706,24.14125,48.52275,625,1075.0,1450.0,1725.0,1,5.5,6.5,11.0,30.5,71.5,118.5,148.5,1.9321,5.60865,7.81875,10.9949,0,-9.995,-5.5,-14.255,0,94.5,104.5,206.0,0,0,0,0,0,17.5,13.0,31.5,0,3.61,3.41,7.38,168.7037778,338.708,526.3763556,616.4515333,763.7777778,1552.0,2250.222222,2336.0,23.77777778,49.77777778,76.0,92.22222222,125.7777778,306.6666667,423.5555556,438.6666667,10.98637778,25.33813333,36.74786667,40.61242222,11.3152,10.1184,22.47328,21.87232,61.0,55.2,116.2,113.2,1,1.2,2.4,2.6,1.6,4.8,7.2,9.6,0.53882,0.68068,1.278,1.41386,33.424,81.36,127.2265228,163.6185228,0,0.908,1.174,1.886,0,2.0,3.4,5.0,0,0,0,0,0,-2.0,-2.0,-3.6,0,-0.04,0.032,-6.66e-17,0,-6.36,-6.561422,-11.361422,7.39328,12.4032,23.9552,31.34848,39.2,67.2,106.4,145.6,0.8,1.6,3.2,4.0,3.2,9.6,16.0,19.2,0.45,0.924,1.608,2.058,43.808,133.792,227.3700912,271.1780912,0,0.784,1.848,1.848,0,1.6,7.2,7.2,0,0,0,0,0,-1.6,-1.6,-1.6,0,-0.032,0.256,0.256,0,-6.24,-7.045688,-7.045688,19.46414,14.95709,18.64663,1342.84,5359.15,0.8427,3.363132059,0.8427,0.0,3.36314,0.0,138403.0,0.0,0.0,0.166666667,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25057
MOF_net-gsi_node1-N42_edge1-E1,1inor_1edge,gsi,1.211685745,260.717,563.012,1194.0144,1424.495,2444.0,6364.0,9732.0,10574.0,36.0,86.0,154.0,206.0,248.0,690.0,1118.0,1332.0,19.834,54.8362,91.4118,113.9106,2.4025,28.706,24.14125,48.52275,625,1075.0,1450.0,1725.0,1,5.5,6.5,11.0,30.5,71.5,118.5,148.5,1.9321,5.60865,7.81875,10.9949,0,-9.995,-5.5,-14.255,0,94.5,104.5,206.0,0,0,0,0,0,17.5,13.0,31.5,0,3.61,3.41,7.38,352.2144,762.756,1216.5604,1574.097,1428.0,3216.0,4720.0,5280.0,56.0,120.0,192.0,258.0,312.0,792.0,1168.0,1362.0,23.8424,58.5816,88.7104,107.0354,11.3152,10.1184,22.47328,21.87232,61.0,55.2,116.2,113.2,1,1.2,2.4,2.6,1.6,4.8,7.2,9.6,0.53882,0.68068,1.278,1.41386,33.424,81.36,127.2265228,163.6185228,0,0.908,1.174,1.886,0,2.0,3.4,5.0,0,0,0,0,0,-2.0,-2.0,-3.6,0,-0.04,0.032,-6.66e-17,0,-6.36,-6.561422,-11.361422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,22.26074,17.06833,22.26074,1248.83,5983.08,0.8394,4.021520934,0.8394,0.0,4.02153,0.0,131112.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208727
MOF_net-hbo_node1-N73_edge1-E1,1inor_1edge,hbo,0.737310464,126.391,233.3696,383.0548,327.2128,5264.0,6912.0,5248.0,4608.0,14.0,32.0,40.0,40.0,80.0,192.0,208.0,192.0,11.0156,26.28,28.5964,26.6304,2.8561,23.2544,12.9285,24.5557,2304,1536.0,864.0,1632.0,1,4.0,3.0,5.0,16.0,32.0,36.0,52.0,2.1904,4.3216,3.4188,5.5796,0,-7.0,-2.58,-6.08,0,160.0,126.0,206.0,0,0,0,0,0,8.0,3.0,7.0,0,3.0,2.13,3.63,352.2144,762.756,1216.5604,1574.097,1428.0,3216.0,4720.0,5280.0,56.0,120.0,192.0,258.0,312.0,792.0,1168.0,1362.0,23.8424,58.5816,88.7104,107.0354,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,48.17115,24.11246,47.96522,854.812,6434.99,0.8961,6.745810687,0.8961,0.0,6.7458,0.0,312349.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.132838
MOF_net-cha_node1-N73_edge1-E7,1inor_1edge,cha,0.721786509,126.391,233.3696,383.0548,327.2128,5264.0,6912.0,5248.0,4608.0,14.0,32.0,40.0,40.0,80.0,192.0,208.0,192.0,11.0156,26.28,28.5964,26.6304,2.8561,23.2544,12.9285,24.5557,2304,1536.0,864.0,1632.0,1,4.0,3.0,5.0,16.0,32.0,36.0,52.0,2.1904,4.3216,3.4188,5.5796,0,-7.0,-2.58,-6.08,0,160.0,126.0,206.0,0,0,0,0,0,8.0,3.0,7.0,0,3.0,2.13,3.63,241.8194,496.791,822.2104,979.302,920.0,1944.0,2920.0,3408.0,38.0,78.0,132.0,156.0,210.0,510.0,724.0,908.0,14.9942,36.1438,54.5124,67.3596,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,39.11992,22.15253,38.88049,947.445,5822.17,0.8854,5.440880963,0.8854,0.0,5.44089,0.0,265883.0,0.0,0.0,0.5,0.0,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0,0.162731
MOF_net-ict_node1-N73_edge1-E1,1inor_1edge,ict,1.316183574,126.391,233.3696,383.0548,327.2128,5264.0,6912.0,5248.0,4608.0,14.0,32.0,40.0,40.0,80.0,192.0,208.0,192.0,11.0156,26.28,28.5964,26.6304,2.8561,23.2544,12.9285,24.5557,2304,1536.0,864.0,1632.0,1,4.0,3.0,5.0,16.0,32.0,36.0,52.0,2.1904,4.3216,3.4188,5.5796,0,-7.0,-2.58,-6.08,0,160.0,126.0,206.0,0,0,0,0,0,8.0,3.0,7.0,0,3.0,2.13,3.63,352.2144,762.756,1216.5604,1574.097,1428.0,3216.0,4720.0,5280.0,56.0,120.0,192.0,258.0,312.0,792.0,1168.0,1362.0,23.8424,58.5816,88.7104,107.0354,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,29.2683,24.1773,29.06365,1361.08,6510.65,0.8369,4.003252733,0.8369,0.0,4.00326,0.0,278042.0,0.0,0.0,0.0,0.0,0.833333333,0.0,0.166666667,0.0,0.0,0.0,0.0,0.209055
MOF_net-wln_node1-N0_edge1-E5,1inor_1edge,wln,3.72829685,142.2182,270.1616,464.4,677.0562,2190.0,4222.0,5628.0,7082.0,17.0,36.0,56.0,82.0,92.0,230.0,316.0,380.0,11.6471,26.204,39.843,52.7732,3.5344,24.7408,27.7488,55.3284,729,823.5,931.5,2416.5,1,4.0,5.5,11.0,16.0,38.0,66.0,124.0,1.5876,3.717,5.2983,10.9116,0,-5.64,-4.42,-8.75,0,77.5,114.0,207.5,0,0,0,0,0,6.5,5.5,13.0,0,2.09,2.725,5.2,187.8242,400.23996,639.35024,749.812,774.8,1701.6,2513.6,2598.4,28.8,61.2,99.2,118.4,160.4,398.0,572.8,632.8,12.32288,29.8738,44.9968,50.69216,10.8616,11.8551,22.4355,23.334,58.375,64.125,118.125,94.125,1,1.375,2.5,3.0,2.125,5.875,10.0,10.25,0.544,0.7788125,1.36875,1.37575,38.09125,89.32375,153.2290767,164.6466908,0,0.74,1.2125,2.36375,0,1.625,3.125,9.875,0,0,0,0,0,-1.75,-2.5,-2.25,0,-0.0325,-4.16e-17,0.365,0,-5.2125,-7.77588875,-6.68299875,2.6344,4.0567,4.5137,4.131,14.125,18.25,24.5,22.5,0.25,0.5,0.5,0.5,1.25,2.25,2.75,3.375,0.136925,0.24745,0.28125,0.2849,10.35625,28.95282675,31.9025,35.8775,0,0.2775,0.23375,0.345,0,1.125,0.5,0.75,0,0,0,0,0,0.25,-0.25,-0.625,0,0.04,-0.01,-0.015,0,-0.87588875,-1.725,-2.475,44.92505,42.98025,44.92505,1249.8,4906.86,0.814,3.195866575,0.814,0.0,3.19586,0.0,141278.0,0.0,0.0,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.254704
MOF_net-son_node1-N39_edge1-E14,1inor_1edge,son,9.741721106,172.2408,328.704,687.0628,929.2672,2356.0,5316.0,6976.0,7968.0,20.0,44.0,76.0,112.0,120.0,308.0,428.0,512.0,13.3066,32.1104,51.4692,68.9248,3.5344,31.584,28.764,63.826,729,1053.0,972.0,1917.0,1,5.0,6.0,12.0,25.0,55.0,90.0,140.0,1.5876,4.6242,5.8212,10.4076,0,-7.4,-4.02,-11.39,0,96.0,126.0,253.0,0,0,0,0,0,14.0,12.0,32.0,0,2.63,2.94,6.86,187.7816,393.295,614.0217333,703.143,822.0,1760.0,2525.333333,2514.0,27.33333333,58.0,89.33333333,106.6666667,147.3333333,362.0,508.0,518.0,12.2966,29.07006667,42.40893333,45.73306667,10.7968,11.4648,24.5112,16.3024,58.0,62.4,109.2,77.2,1,1.4,2.8,2.0,2.2,6.6,8.8,6.8,0.54474,0.79926,1.335,1.01652,38.758,102.83,134.8220912,118.6570456,0,0.926,1.402,1.6,0,2.0,6.4,5.2,0,0,0,0,0,-2.0,-1.2,-2.4,0,-0.04,0.272,0.096,0,-6.72,-2.845688,-7.602844,9.2416,17.0544,33.12992,39.05792,49.0,92.4,144.2,169.4,1.0,2.2,4.4,5.0,5.0,15.0,23.8,24.0,0.5625,1.2705,2.178,2.4495,54.76,183.964,301.8351368,313.0936596,0,1.078,2.478,2.352,0,2.2,10.2,10.8,0,0,0,0,0,-1.6,-0.6,-0.2,0,-0.044,0.396,0.484,0,-8.58,-8.228532,-5.309954,14.99189,13.25271,13.67585,1847.44,5163.85,0.7698,2.151691753,0.7698,0.0,2.15169,0.0,101822.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357765
MOF_net-cbo_node1-N55_edge1-E1,1inor_1edge,cbo,0.429353525,76.0669,115.584,175.6632,210.528,1300.0,2304.0,2208.0,1152.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,6.2193,12.1472,14.4644,13.4904,2.7225,22.704,16.83,39.534,900,960.0,720.0,1680.0,1,4.0,4.0,8.0,16.0,32.0,48.0,64.0,1.7161,3.8252,4.0348,7.86,0,-7.16,-3.6,-10.76,0,88.0,96.0,184.0,0,0,0,0,0,8.0,4.0,16.0,0,2.32,2.16,4.48,352.2144,762.756,1216.5604,1574.097,1428.0,3216.0,4720.0,5280.0,56.0,120.0,192.0,258.0,312.0,792.0,1168.0,1362.0,23.8424,58.5816,88.7104,107.0354,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,31.93081,21.57337,30.28742,1000.53,7012.57,0.8734,6.121519236,0.8734,0.0,6.12152,0.0,244547.0,0.0,0.166666667,0.0,0.0,0.166666667,0.666666667,0.0,0.0,0.0,0.0,0.0,0.142677
MOF_net-uma_node1-N18_edge1-E8,1inor_1edge,uma,4.454904295,127.7476,256.7616,547.5288,476.5088,2114.0,4656.0,6286.0,5136.0,14.0,34.0,56.0,58.0,98.0,266.0,356.0,296.0,9.81,25.55,38.074,37.6096,3.5344,29.1024,20.3134,39.4142,729,972.0,1296.0,1323.0,1,4.5,4.5,7.0,22.5,49.5,67.5,76.5,1.5876,4.1391,4.9833,6.615,0,-7.02,-2.345,-7.805,0,85.5,73.5,140.0,0,0,0,0,0,12.5,6.0,12.5,0,2.385,1.715,3.57,177.0894,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.8422,39.4612,45.1084,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37.00373,31.35943,37.00373,985.654,5424.7,0.8803,4.844879112,0.8803,0.0,4.84487,0.0,173280.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.181697
MOF_net-bcs_node1-N33_edge1-E15,1inor_1edge,bcs,3.09035216,196.9032,347.85,1076.4128,1012.2,8994.0,14904.0,13064.0,13248.0,22.0,56.0,112.0,128.0,196.0,592.0,668.0,704.0,16.7828,50.47,75.5996,83.0704,1.44,27.828,15.3,34.872,3969,3402.0,1890.0,4284.0,1,7.0,5.0,10.0,49.0,112.0,105.0,182.0,2.8224,8.652,6.468,12.6672,0,-14.79,-6.75,-17.06,0,387.0,285.0,562.0,0,0,0,0,0,33.0,20.0,44.0,0,6.61,4.55,9.26,306.7460667,652.426,1056.0204,1325.963667,1210.666667,2672.0,3956.0,4450.666667,48.66666667,102.6666667,168.0,215.3333333,270.6666667,676.0,984.0,1172.666667,20.10246667,49.126,74.34746667,90.28233333,11.18202111,10.63888333,19.67663778,18.36056667,60.57777778,58.26666667,107.1111111,94.53333333,1,1.244444444,2.0,2.244444444,1.977777778,4.466666667,5.711111111,8.2,0.540233333,0.703266667,1.106097778,1.201371111,40.26333333,82.81644444,108.44,148.8029727,0,0.563666667,0.781222222,1.648,0,1.266666667,1.755555556,4.733333333,0,0,0,0,0,-1.266666667,-1.755555556,-3.022222222,0,-0.025333333,-0.035111111,0.027555556,0,-3.8,-5.266666667,-8.872849111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.6902,11.96056,17.15076,1743.49,5946.87,0.7932,2.705532835,0.7932,0.0,2.70553,0.0,107049.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.293177
MOF_net-hbo_node1-N41_edge1-E0,1inor_1edge,hbo,5.34385075,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,590.0304,1378.318154,2306.145231,2942.822769,2302.153846,5760.0,8979.692308,10035.69231,97.84615385,217.8461538,369.2307692,480.0,587.0769231,1524.923077,2374.153846,2824.615385,41.00769231,106.0752,169.5256615,205.6940308,9.2416,15.504,29.85103768,28.20270311,49.0,84.0,129.942029,94.33043478,1,2.0,4.0,3.9126294,4.0,12.0,18.7378882,15.4757764,0.5625,1.155,1.98378882,1.659543478,54.76,167.24,279.8207223,226.6392984,0,0.98,2.34057971,2.617188406,0,2.0,9.436853002,13.9126294,0,0,0,0,0,-2.0,-1.368944099,0.0873706,0,-0.04,0.35494824,0.721747412,0,-7.8,-8.213611122,-1.673474658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,46.61006,27.18164,46.61006,765.549,5809.24,0.892,6.768805822,0.892,0.0,6.76879,0.0,243847.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.131781
MOF_net-vbm_node1-N14_edge1-E0,1inor_1edge,vbm,3.436721428,196.4432,353.71,1321.8256,1068.14,9506.0,17416.0,23098.0,17336.0,22.0,60.0,136.0,140.0,236.0,792.0,1058.0,968.0,16.7828,55.3756,93.085,95.3988,1.21,29.293,15.235,38.555,4225,4030.0,6175.0,5330.0,1,8.0,6.0,12.0,64.0,160.0,184.0,256.0,2.8224,9.8784,9.2904,15.1872,0,-17.83,-7.25,-21.85,0,458.0,295.0,698.0,0,0,0,0,0,44.0,25.0,64.0,0,7.56,4.55,11.12,254.8735667,542.521,914.2404,1187.263667,1026.666667,2264.0,3572.0,4086.666667,39.66666667,84.66666667,144.0,191.3333333,228.6666667,590.0,914.0,1108.666667,16.59036667,40.9178,65.04586667,81.57273333,11.47819333,9.7903,20.09889333,17.9894,62.13333333,53.6,109.3333333,95.2,1,1.133333333,2.0,2.133333333,1.533333333,3.8,4.933333333,7.2,0.5369,0.6391,1.101053333,1.166293333,34.73,72.39533333,99.14,135.6107124,0,0.712,0.830666667,1.708,0,1.6,1.866666667,4.4,0,0,0,0,0,-1.6,-1.866666667,-3.466666667,0,-0.032,-0.037333333,-0.021333333,0,-4.8,-5.6,-10.29428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.26806,9.24417,14.26806,2051.52,4659.07,0.714,1.621514822,0.714,0.0,1.62152,0.0,56474.7,0.0,0.0,0.916666667,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440329
